payment_month,monthly_revenue,monthly_orders,monthly_active_customers,monthly_average_order_value
2010-01,58635.56,143,98,410.0388811188811
2010-02,46207.28,167,117,276.6902994011976
2010-03,45620.46,108,55,422.41166666666663
2010-05,31383.95,95,76,330.3573684210526
2010-06,53860.18,133,90,404.9637593984962
2010-07,45059.049999999996,111,70,405.93738738738733
2010-08,44189.84,148,112,298.58
2010-09,52532.13,183,122,287.0608196721311
2010-10,57404.909999999996,91,54,630.8231868131868
2010-12,314063.66,846,489,371.2336406619385
2011-01,607748.11,1771,967,343.16663466967816
2011-02,542511.54,1480,862,366.5618513513514
2011-03,712059.51,1935,1005,367.9894108527132
2011-04,660149.571,1821,972,362.5203574958814
2011-05,733769.32,2084,1063,352.0966026871401
2011-06,745252.34,2229,1145,334.3438043965904
2011-07,843891.231,2196,1153,384.2856243169399
2011-08,715632.72,1982,1036,361.0659535822401
2011-09,992555.452,2246,1257,441.9213944790739
2011-10,931852.16,2457,1350,379.2642083842084
2011-11,1297606.42,3052,1570,425.16593053735255
2011-12,215762.54,622,428,346.88511254019295
